OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025GM,2026-06-12T21:17:51.404928,14.00213412,.0060446,98.7357,162.8072,116.8297,316.4674,0,U,29891,999,99037,.24653E-3,.329E-5,0
FENGYUN 1C DEB,1999-025GN,2026-06-12T05:32:31.919136,14.36173010,.0182966,99.1907,327.1968,130.7510,40.8061,0,U,29892,999,99251,.24252399E-2,.8517E-4,0
FENGYUN 1C DEB,1999-025GP,2026-06-12T00:40:15.337056,13.79541394,.01731585,98.5453,246.6199,23.3535,100.3586,0,U,29893,999,97639,.92504495E-4,.69E-6,0
FENGYUN 1C DEB,1999-025GQ,2026-06-11T17:44:23.773920,13.81193551,.01667471,99.4628,222.6592,287.1651,200.7810,0,U,29894,999,97575,.40343972E-3,.428E-5,0
FENGYUN 1C DEB,1999-025GR,2026-06-12T05:43:50.157408,14.10699450,.02965107,99.8961,294.6734,207.9058,273.2831,0,U,29895,999,98081,.29549148E-2,.7922E-4,0
FENGYUN 1C DEB,1999-025GS,2026-06-12T05:37:32.730240,13.65565902,.02398777,99.4066,54.8242,355.0373,128.5681,0,U,29896,999,96519,.41010625E-3,.364E-5,0
FENGYUN 1C DEB,1999-025GT,2026-06-12T20:18:58.761216,13.57873992,.0299081,98.6163,11.1472,24.7115,351.7075,0,U,29897,999,95411,.15873E-2,.1496E-4,0
FENGYUN 1C DEB,1999-025GU,2026-06-12T20:42:21.903264,13.71965344,.0425642,98.2323,135.8400,57.4582,1.3358,0,U,29898,999,95657,.30612E-2,.5287E-4,0
FENGYUN 1C DEB,1999-025GV,2026-06-10T02:08:59.361216,13.37552241,.03523007,98.6906,295.5782,348.2167,11.0875,0,U,29899,999,94482,.12019714E-3,.54E-6,0
FENGYUN 1C DEB,1999-025GX,2026-06-10T22:38:11.298912,13.33370542,.03785725,98.7693,311.9882,196.2566,293.8406,0,U,29901,999,94320,.45880278E-3,.302E-5,0
FENGYUN 1C DEB,1999-025HA,2026-06-11T15:52:00.055200,14.45097356,.02075139,99.0157,216.9215,140.2072,221.4547,0,U,29904,999,1670,.31855557E-3,.1393E-4,0
FENGYUN 1C DEB,1999-025HC,2026-06-12T05:56:07.713600,14.52792198,.00320673,98.7100,277.9735,318.4147,41.4609,0,U,29906,999,788,.164271E-2,.675E-4,0
FENGYUN 1C DEB,1999-025HD,2026-06-11T19:36:43.392960,14.12576189,.00846333,99.0979,237.2679,102.3862,23.3281,0,U,29907,999,99154,.1054707E-2,.1974E-4,0
FENGYUN 1C DEB,1999-025HF,2026-06-12T20:10:05.833056,14.58744011,.0038643,98.6391,279.2625,175.0333,312.1448,0,U,29909,999,1058,.18993E-2,.8918E-4,0
FENGYUN 1C DEB,1999-025HH,2026-06-12T02:18:36.728352,14.19377181,.0025252,98.6943,208.0004,354.1070,60.1827,0,U,29911,999,2,.54019556E-3,.1095E-4,0
FENGYUN 1C DEB,1999-025HJ,2026-06-12T20:19:17.854752,14.45330842,.0039885,98.7392,271.2207,39.9751,86.4939,0,U,29912,999,666,.14607E-2,.5138E-4,0
FENGYUN 1C DEB,1999-025HK,2026-06-11T12:50:52.556064,14.07579119,.0063852,98.7926,161.5539,121.6315,3.0894,0,U,29913,999,99508,.27419E-3,.429E-5,0
FENGYUN 1C DEB,1999-025HL,2026-06-11T15:13:37.104672,14.03210192,.0034858,98.8222,190.9369,332.8362,147.7111,0,U,29914,999,99323,-.33265991E-4,-.95E-6,0
FENGYUN 1C DEB,1999-025HN,2026-06-11T17:03:48.843072,13.57210159,.02721487,99.1821,175.2660,155.2971,259.8711,0,U,29916,999,95907,.53953951E-3,.45E-5,0
FENGYUN 1C DEB,1999-025HP,2026-06-11T09:17:52.426176,13.70863857,.0225519,98.8626,15.3081,7.6932,166.6598,0,U,29917,999,96605,.74032E-3,.75E-5,0
FENGYUN 1C DEB,1999-025HQ,2026-06-12T19:22:24.234816,14.35050676,.0015591,98.8466,255.5330,142.1416,335.1139,0,U,29918,999,404,.12023E-2,.3387E-4,0
FENGYUN 1C DEB,1999-025HR,2026-06-12T03:27:59.121792,13.85216037,.01372009,98.5078,305.5786,206.5239,332.1258,0,U,29919,999,98046,.14945575E-3,.144E-5,0
FENGYUN 1C DEB,1999-025HS,2026-06-09T20:24:50.009184,14.04229901,.01256874,98.3800,6.6742,132.5734,228.6123,0,U,29920,999,98801,.10308135E-2,.1718E-4,0
FENGYUN 1C DEB,1999-025HT,2026-06-12T07:15:04.148640,14.06869633,.00439724,98.7849,169.2572,279.0021,96.7411,0,U,29921,999,99429,.38138623E-3,.598E-5,0
FENGYUN 1C DEB,1999-025HU,2026-06-12T02:34:54.762528,13.98686125,.00919899,99.1088,224.5963,227.9177,131.4137,0,U,29922,999,98976,.28720616E-3,.383E-5,0
FENGYUN 1C DEB,1999-025HV,2026-06-12T06:53:27.021120,14.14238599,.00177871,98.6841,171.5432,19.0843,0.6466,0,U,29923,999,99841,.41288009E-3,.746E-5,0
FENGYUN 1C DEB,1999-025HW,2026-06-09T18:59:30.804864,14.08940406,.0028013,98.7262,173.1746,111.0846,61.7768,0,U,29924,999,99729,.11209E-3,.152E-5,0
